,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程
63,信息系统运行异常,不影响用户使用但系统有告警,8月10日21:35-23:05，国网西藏电力所有系统IMS监控状态异常。期间，所有系统健康运行时长及在线用户数指标缺失，URL探测异常，,主机,运行维护不当,内存溢出,经查故障原因为系统长期运行，后台并行连接数超过内核阀值，部分进程僵死，导致操作系统无响应。,0
64,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月1日00:05-00:15，国网天津、吉林、宁夏电力，00:05-01:40，国网湖北电力，00:05-09:20，国网北京电力，00:05-09:45，国网蒙东电力，02:10-10:10，国网浙江电力营销稽查系统监控状态异常。,主机,软件设计缺陷,代码逻辑缺陷,"IMS需要从营销稽查监控系统调取日和月的业务指标, 但该系统应用程序日期逻辑判断错误（1.303版本存在该问题）,使得相关指标无法正常提供给IMS系统",各网省更新总部紧急发布的补丁包后，指标恢复正常。
65,信息系统运行异常,不影响用户使用但系统有告警,8月11日00:00-1:15，国网辽宁电力电能服务系统监控状态异常。期间，系统健康运行时长及在线用户数指标缺失，URL探测正常,数据库软件,运行维护不当,数据库表空间满,系统健康运行时长及在线用户数指标缺失，URL探测正常。经查原因为　　　由于8月8号为月初宏观经济数据以及其他数据的处理加工时间，所以在执行存储过程以及处理加工数据时对数据库进行了大量操作，产生大量的归档日志，因此此次事件发生间隔过短。数据库归档日志空间不足之后数据库无法使用，使电能服务管理平台后台服务无法正常连接到oracle数据库。导致指标异常。,
66,信息系统监控接口异常,IMS系统数据接口非计划中断,1月10日23:35，国网技术学院财务管控系统运行状态异常。期间，健康运行时长及在线用户数指标缺失，11日00:20-08:25，URL探测异常。系统URL探测异常,应用软件,运行维护不当,程序包接口配置不合理,由于接口问题，导致数据导入失败，造成数据库压力比较大，数据库进程堵塞，导致IMS指标异常。,0
67,信息系统运行异常,系统部分功能非计划不可用,3月2日，13:15-13:35国网宁夏电力企业门户指标监控异常。期间，在线用户数指标中断，健康运行时长及URL探测正常,主机,运行维护不当,数据库表空间满,期间，在线用户数指标中断，健康运行时长及URL探测正常，经查故障原因为，大量应用连接数据库超时导致数据库资源耗尽，从而使后续应用无法正常连接数据库，服务器资源耗尽，且主节点内存资源被耗尽，导致挂载的存储无法进行卸载，VIP也无法进行漂移，应用的正常请求无法实现，最终只能通过手动重启服务器来进行主机内存资源释放，备节点才可进行数据库接管。检修人员手动重启主节点，资源被释放后，数据库备节点成功接管后，系统指标恢复正常。,0
68,信息系统运行异常,不影响用户使用但系统有告警,"7月24日10:50-12:05，国网福建电力外网网站I6000外网网站监控异常,国网福建电力外网网站I6000健康运行时长及URL探测异常。",网络,运行维护不当,检修操作不当,国网福建电力外网网站I6000健康运行时长及URL探测异常。经查原因为：检修导致JMSConfig.properties配置参数缺失未配置，内外网各节点服务日志及配置分析内网PASSendServer转数服务日志抛空指针异常，且异常时间段查询临时表无数据，导致间断性监测异常,0
69,信息系统运行异常,系统非计划停运,9月18日0:00-0:40，国网北京电力数据交换系统监控状态异常。期间，系统URL探测中断，健康运行时长及在线用户数指标正常。,主机,运行维护不当,内存溢出,期间，系统URL探测中断，健康运行时长及在线用户数指标正常。经查，数据交换平台消息队列频繁调用jmsrcv_conv程序，服务器资源被程序大量占用，导致缓存严重不足，weblogic 进程内存溢出，重启服务后指标恢复.,
70,信息系统运行异常,不影响用户使用但系统有告警,1月23日5:25，国网信通调度监控发现集中部署ERP的IMS健康运行时长及在线用户数指标缺失，URL探测指标正常。,主机,运行维护不当,未反馈故障报告,未反馈报告,运检中心重启集中部署ERP数据库实例后，IMS检测指标恢复正常。
71,信息系统运行异常,不影响用户使用但系统有告警,4月27日6:25-6:55，国网天津电力财务管控、内网网站等部分系统监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常,主机,运行维护不当,CPU负载高,经查，当前I6000总线服务器为虚拟机部署，由于对I6000系统数据量大小考虑不周，该服务器配置设置过低，未能达到实际应用需求，长时间运行后服务器负载压力过大，cpu负载较高，造成总线数据堵塞，导致在总线中暂存的少量待处理的业务系统指标数据丢失。重启总线服务后恢复。,0
72,信息系统运行异常,系统部分功能非计划不可用,"2月22日4:50，国网信通调度监控发现外网邮件系统无法正常登陆。
",存储,设备日常损坏,电源模块故障,NetApp NAS存储第一组磁盘柜两路电源故障，导致NAS主用控制器无法识别磁盘柜，且所承载业务未自动切换至备用NAS控制器，导致后端服务无法访问存储，部分用户无法正常使用邮件系统。,更换存储磁盘柜的电源模块后，系统恢复正常。
73,信息系统运行异常,不影响用户使用但系统有告警,4月27日10:10-13:10，生产管理系统监控状态异常。期间，系统健康运行时长和在线用户数指标间歇性中断，URL探测正常,网络,设备日常损坏,网卡故障,0,0
74,信息系统运行异常,不影响用户使用但系统有告警,9月11日14:20，国网信通调度监控发现一级部署经法系统IMS健康运行时长及在线用户数指标中断，URL探测正常。15:10，经运检中心重启应用节点后，系统指标恢复正常。,数据库软件,软件设计缺陷原因,数据表索引设计不合理,经查，故障原因为数据库中存在较多对全表扫描的SQL语句，影响数据库整体性能，导致IMS接口程序在执行取数SQL时，未能在设定时间内返回相关数据，出现指标闪断现象。9月13日已对相关数据库表创建索引，提高IMS接口程序执行效率，截至目前，系统指标正常。特此汇报。,
75,信息系统运行异常,不影响用户使用但系统有告警,"1月5日08:25至08:40、11:00至11:20，国网信通调度监控发现农电管理系统IMS健康运行时长及在线用户数指标中断，URL探测正常。
",主机,运行维护不当,内存配置不合理,农电管理服务节点2因JVM配置问题内存溢出，且负载均衡设备因分发策略配置问题未能及时发现节点2故障进行切换。,调度重启故障应用节点后，指标恢复正常。
76,信息系统监控接口异常,不影响用户使用但系统有告警,9月20日19:10，国网信通调度监控发现所有直属单位信息系统健康运行时长及在线用户数指标缺失，URL探测异常。被监控系统访问正常。19:30，重启直属单位I6000总线服务后，所有系统健康运行时长及在线用户数指标全部恢复正常。,网络,运行维护不当,不释放数据库连接,经查，故障原因为迪普负载均衡设备与I6000总线服务端的连接未正常释放，导致监控指标异常。后续将通过对监控接口优化改造进行消缺。,
77,信息系统运行异常,系统部分功能非计划不可用,3月28日16:45-17:10，国网四川电力PMS2.0系统监控状态异常。期间，系统IMS健康运行时长和在线用户数指标中断，URL探测正常。,数据库软件,运行维护不当,线程满,"经查，由于近期PMS2.0系统与ERP系统进行账卡物的一致清理工作，PMS2.0 存在大量设备信息未同步至ERP系统。PMS2.0厂商运维人员进行手工同步，由于同步数据量大，ERP通过PMS2.0接口服务将设备的功能位置编码反馈给PMS2.0时出现响应缓慢，同时占用大量的资源，且未能及时释放，造成接口异常，同步数据完成后系统恢复正常。
",自动恢复
